cas,chem_name,group,latin_name,strain,test_type,test_statistic,duration_d,effect_value,effect_unit,source,endpoint
10108642,Cadmium chloride,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC50,2,14.12626156,mg/L,Widmayer 2022,Growth
63252,Carbaryl,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC50,2,107.1477292,mg/L,Widmayer 2022,Growth
63252,Carbaryl,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC50,2,127.8754317,mg/L,Widmayer 2022,Growth
63252,Carbaryl,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC50,2,131.2642732,mg/L,Widmayer 2022,Growth
63252,Carbaryl,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC50,2,80.09309123,mg/L,Widmayer 2022,Growth
63252,Carbaryl,NEMATODE,Caenorhabditis elegans,MY16,NA,EC50,2,97.47673401,mg/L,Widmayer 2022,Growth
63252,Carbaryl,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC50,2,140.6379976,mg/L,Widmayer 2022,Growth
63252,Carbaryl,NEMATODE,Caenorhabditis elegans,RC301,NA,EC50,2,115.7944806,mg/L,Widmayer 2022,Growth
63252,Carbaryl,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC50,2,100.2115922,mg/L,Widmayer 2022,Growth
5234684,Carboxin,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC50,2,145.7476887,mg/L,Widmayer 2022,Growth
5234684,Carboxin,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC50,2,195.2469585,mg/L,Widmayer 2022,Growth
5234684,Carboxin,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC50,2,169.7841637,mg/L,Widmayer 2022,Growth
5234684,Carboxin,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC50,2,123.0355123,mg/L,Widmayer 2022,Growth
5234684,Carboxin,NEMATODE,Caenorhabditis elegans,MY16,NA,EC50,2,129.5584323,mg/L,Widmayer 2022,Growth
5234684,Carboxin,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC50,2,221.3456031,mg/L,Widmayer 2022,Growth
5234684,Carboxin,NEMATODE,Caenorhabditis elegans,RC301,NA,EC50,2,126.8577,mg/L,Widmayer 2022,Growth
5234684,Carboxin,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC50,2,179.3644225,mg/L,Widmayer 2022,Growth
121755,Malathion,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC50,2,82.73495962,mg/L,Widmayer 2022,Growth
121755,Malathion,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC50,2,81.8263601,mg/L,Widmayer 2022,Growth
121755,Malathion,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC50,2,856.0073914,mg/L,Widmayer 2022,Growth
121755,Malathion,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC50,2,64.59586122,mg/L,Widmayer 2022,Growth
121755,Malathion,NEMATODE,Caenorhabditis elegans,MY16,NA,EC50,2,78.28622067,mg/L,Widmayer 2022,Growth
121755,Malathion,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC50,2,64.62801094,mg/L,Widmayer 2022,Growth
121755,Malathion,NEMATODE,Caenorhabditis elegans,RC301,NA,EC50,2,44.42604933,mg/L,Widmayer 2022,Growth
121755,Malathion,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC50,2,118.8069079,mg/L,Widmayer 2022,Growth
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC50,2,77.25663361,mg/L,Widmayer 2022,Growth
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC50,2,97.40066576,mg/L,Widmayer 2022,Growth
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC50,2,85.94795167,mg/L,Widmayer 2022,Growth
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC50,2,73.61289674,mg/L,Widmayer 2022,Growth
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,MY16,NA,EC50,2,87.68354934,mg/L,Widmayer 2022,Growth
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC50,2,79.57221141,mg/L,Widmayer 2022,Growth
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,RC301,NA,EC50,2,78.3987571,mg/L,Widmayer 2022,Growth
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC50,2,108.6330891,mg/L,Widmayer 2022,Growth
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC50,2,5.205423814,mg/L,Widmayer 2022,Growth
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC50,2,8.326317844,mg/L,Widmayer 2022,Growth
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC50,2,5.526586341,mg/L,Widmayer 2022,Growth
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC50,2,5.905979179,mg/L,Widmayer 2022,Growth
